"host_since","host_response_time","host_is_superhost","host_listings_count","host_has_profile_pic","host_identity_verified","neighbourhood_group_cleansed","latitude","longitude","bathrooms_text","accommodates","price","minimum_nights","availability_365","review_scores_rating","instant_bookable","reviews_per_month","room_typeEntire home/apt","room_typeHotel room","room_typePrivate room","room_typeShared room","neighbourhood_group_cleansedBronx","neighbourhood_group_cleansedBrooklyn","neighbourhood_group_cleansedManhattan","neighbourhood_group_cleansedQueens","neighbourhood_group_cleansedStaten Island","price_log"
5339,1,0,6,1,1,"Manhattan",40.75356,-73.98559,1,1,225,30,308,4.7,0,0.31,1,0,0,0,0,0,1,0,0,5.41610040220442
5192,4,0,1,1,1,"Brooklyn",40.68535,-73.95512,0,2,60,30,365,4.52,0,0.32,0,0,1,0,0,1,0,0,0,4.0943445622221
5192,4,0,1,1,1,"Brooklyn",40.66265,-73.99454,1.5,4,275,21,250,5,0,0.02,1,0,0,0,0,1,0,0,0,5.61677109766657
5164,2,0,1,1,0,"Manhattan",40.76457,-73.98317,1,2,68,2,172,4.23,0,3.37,0,0,1,0,0,0,1,0,0,4.21950770517611
5190,0,0,1,1,1,"Manhattan",40.8038,-73.96751,1,1,75,2,0,4.91,0,0.76,0,0,1,0,0,0,1,0,0,4.31748811353631
5185,3,1,3,1,1,"Manhattan",40.80316,-73.96387,1,2,135,30,30,4.68,0,0.35,1,0,0,0,0,0,1,0,0,4.90527477843843
5157,3,0,3,1,1,"Brooklyn",40.66801,-73.98784,1.5,2,118,4,312,4.7,0,1.32,0,0,1,0,0,1,0,0,0,4.77068462446567
5100,4,1,1,1,1,"Brooklyn",40.70935,-73.95342,1,3,84,30,227,4.56,1,1.16,1,0,0,0,0,1,0,0,0,4.43081679884331
5099,3,0,0,1,1,"Manhattan",40.80107,-73.94255,1,1,65,30,334,0,0,0,0,0,1,0,0,0,1,0,0,4.17438726989564
5094,4,1,3,1,1,"Manhattan",40.78778,-73.94759,1,1,62,30,254,4.88,1,1.55,0,0,1,0,0,0,1,0,0,4.12713438504509
5091,2,0,2,1,1,"Brooklyn",40.71248,-73.95881,1,2,90,7,5,4.86,0,0.06,0,0,1,0,0,1,0,0,0,4.49980967033027
5089,4,1,1,1,1,"Brooklyn",40.691083,-73.972544,1,4,199,2,273,4.88,1,1.95,1,0,0,0,0,1,0,0,0,5.29330482472449
5063,2,1,4,1,0,"Brooklyn",40.71778,-73.9568,1,4,395,30,348,4.86,0,0.06,1,0,0,0,0,1,0,0,0,5.97888576490112
5035,4,1,2,1,1,"Brooklyn",40.68462,-73.93839,1,5,135,2,260,4.76,0,0.96,1,0,0,0,0,1,0,0,0,4.90527477843843
5008,0,0,1,1,1,"Manhattan",40.76724,-73.98664,1,2,175,30,0,4.52,0,0.38,1,0,0,0,0,0,1,0,0,5.16478597392351
4998,2,0,1,1,1,"Manhattan",40.81317,-73.95465,1,2,55,30,116,4.89,0,1.01,0,0,1,0,0,0,1,0,0,4.00733318523247
4980,3,0,5,1,1,"Brooklyn",40.68294,-73.95682,1,3,82,30,263,4.68,0,0.54,0,0,1,0,0,1,0,0,0,4.40671924726425
5157,3,0,3,1,1,"Brooklyn",40.66692,-73.98981,1,2,119,4,284,4.74,0,1.32,0,0,1,0,0,1,0,0,0,4.77912349311153
4941,0,0,1,1,0,"Brooklyn",40.63702,-73.96327,1,1,150,30,0,0,0,0,0,0,1,0,0,1,0,0,0,5.01063529409626
4934,2,1,2,1,0,"Manhattan",40.72296,-73.98383,1,2,75,7,24,4.4,0,1.79,0,0,1,0,0,0,1,0,0,4.31748811353631
4922,4,1,1,1,0,"Queens",40.74757,-73.94571,1,4,140,3,124,4.91,0,2.23,0,0,1,0,0,0,0,1,0,4.9416424226093
4922,2,0,4,1,1,"Brooklyn",40.67946,-73.95417,1,2,119,30,186,4.49,0,0.47,1,0,0,0,0,1,0,0,0,4.77912349311153
5018,3,0,4,1,1,"Queens",40.67144,-73.76501,1,3,75,2,363,4.14,0,0.49,0,0,1,0,0,0,0,1,0,4.31748811353631
4908,3,0,3,1,1,"Brooklyn",40.68064,-73.94039,1,2,80,2,208,4.67,0,1.12,0,0,1,0,0,1,0,0,0,4.38202663467388
4902,4,0,3,1,1,"Brooklyn",40.70348,-73.93621,1,2,248,1,104,4.76,0,0.92,1,0,0,0,0,1,0,0,0,5.51342874616498
4901,3,0,2,1,1,"Brooklyn",40.73535,-73.95584,1,2,99,30,276,4.82,0,1.18,1,0,0,0,0,1,0,0,0,4.59511985013459
5192,4,0,1,1,1,"Brooklyn",40.68777,-73.94976,1,2,70,30,326,4.55,0,0.4,0,0,1,0,0,1,0,0,0,4.24849524204936
4889,3,0,2,1,1,"Manhattan",40.75611,-73.99523,0.5,1,86,2,235,4.62,0,2.43,0,0,1,0,0,0,1,0,0,4.45434729625351
4888,4,1,1,1,1,"Manhattan",40.721359,-73.993668,1,3,229,2,3,4.6,0,0.29,1,0,0,0,0,0,1,0,0,5.43372200355424
4887,2,0,1,1,1,"Brooklyn",40.71211,-73.96397,1,1,80,7,123,4.85,0,0.33,0,0,1,0,0,1,0,0,0,4.38202663467388
4887,2,0,2,1,1,"Manhattan",40.74493,-73.99521,2,4,400,30,61,5,0,0.07,1,0,0,0,0,0,1,0,0,5.99146454710798
4883,2,0,4,1,1,"Manhattan",40.77119,-73.95241,1,6,206,30,165,4.68,0,0.56,1,0,0,0,0,0,1,0,0,5.32787616878958
4876,2,0,2,1,1,"Brooklyn",40.67839,-73.96642,2,8,140,30,3,4.93,0,1.08,1,0,0,0,0,1,0,0,0,4.9416424226093
4876,3,0,2,1,0,"Brooklyn",40.69121,-73.96804,1,1,55,21,216,4.6,0,0.19,0,0,1,0,0,1,0,0,0,4.00733318523247
4873,4,1,2,1,1,"Manhattan",40.72489,-73.9781,1,2,138,1,224,4.77,0,4.28,0,0,1,0,0,0,1,0,0,4.92725368515721
4872,3,0,2,1,1,"Brooklyn",40.7092,-73.96641,1,2,500,1,364,4.76,0,1.62,1,0,0,0,0,1,0,0,0,6.21460809842219
5268,3,0,3,1,1,"Manhattan",40.72281,-73.98501,1,1,169,1,37,4.68,0,1.26,0,0,1,0,0,0,1,0,0,5.12989871492307
4866,2,0,1,1,1,"Manhattan",40.8019,-73.93762,2,8,250,5,70,4.83,0,1.63,1,0,0,0,0,0,1,0,0,5.52146091786225
4865,3,0,1,1,1,"Manhattan",40.72289,-73.98028,1,2,220,30,61,4.8,0,0.36,1,0,0,0,0,0,1,0,0,5.39362754635236
4854,3,0,2,1,1,"Manhattan",40.83253,-73.94108,1,2,75,2,318,4.89,0,0.94,0,0,1,0,0,0,1,0,0,4.31748811353631
4849,4,0,1,1,1,"Manhattan",40.76967,-73.94831,1,2,200,30,365,4.41,0,1.14,0,0,1,0,0,0,1,0,0,5.29831736654804
4841,4,1,1,1,1,"Manhattan",40.74261,-74.00353,1.5,3,175,4,271,4.95,1,1.55,0,0,1,0,0,0,1,0,0,5.16478597392351
4846,0,0,1,1,0,"Manhattan",40.73808,-73.98001,1,2,95,30,0,5,0,0.01,0,0,1,0,0,0,1,0,0,4.55387689160054
4837,0,0,2,1,1,"Manhattan",40.82817,-73.95133,1,2,110,180,276,4.71,0,0.4,1,0,0,0,0,0,1,0,0,4.70048036579242
